\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000017_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:38 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454362.891700 13.43222 0.00453 
 2454362.896397 13.41828 0.00451 
 2454363.802049 13.42853 0.00473 
 2454363.806757 13.42448 0.00473 
 2454363.811465 13.42229 0.00469 
 2454363.817020 13.42774 0.00465 
 2454363.822575 13.42429 0.00455 
 2454363.828129 13.42856 0.00453 
 2454363.833682 13.42103 0.00449 
 2454363.835883 13.41315 0.00441 
 2454363.840589 13.42308 0.00451 
 2454363.845296 13.42182 0.00451 
 2454363.850002 13.42863 0.00466 
 2454363.854707 13.42097 0.00463 
 2454363.859413 13.42249 0.00456 
 2454363.864119 13.41806 0.00462 
 2454363.868825 13.41929 0.00443 
 2454363.873532 13.42184 0.00452 
 2454363.878238 13.41972 0.00426 
 2454363.882944 13.43403 0.00470 
 2454363.887652 13.42089 0.00432 
 2454363.892358 13.42286 0.00434 
 2454378.760995 13.41488 0.00594 
 2454378.765697 13.41180 0.00585 
 2454378.770400 13.44280 0.00276 
 2454378.775947 13.42498 0.01317 
 2454378.792593 13.42358 0.01170 
 2454378.804192 13.45488 0.00602 
 2454378.818299 13.42818 0.00485 
 2454378.823001 13.42560 0.00604 
 2454378.827703 13.41752 0.00412 
 2454379.801083 13.41948 0.00409 
 2454380.757100 13.44385 0.02588 
 2454380.761807 13.41690 0.00584 
 2454380.766514 13.41319 0.00582 
 2454380.772070 13.43571 0.00553 
 2454381.774033 13.42573 0.00503 
 2454381.779582 13.43160 0.00482 
 2454381.781780 13.41363 0.00485 
 2454381.786482 13.42114 0.00477 
 2454381.791186 13.41178 0.00476 
 2454381.795882 13.43352 0.00480 
 2454381.800593 13.42113 0.00476 
 2454381.805296 13.42150 0.00474 
 2454381.809999 13.42797 0.00463 
 2454381.814698 13.42037 0.00443 
 2454381.819406 13.42187 0.00453 
 2454381.824111 13.43474 0.00431 
