\STAR_ID                              = "Proxima Cen"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "14h29m42.95s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-62d40m46.1s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "1813"
\TIME_REFERENCE_FRAME                 = "JD"
\MINIMUM_DATE                         = "2457402.84676"
\MAXIMUM_DATE                         = "2457502.91435"
\DATE_UNITS                           = "days"
\REFERENCES                           = "Anglada-Escudé et al. 2016"
\BIBCODES                             = "2016Natur.536..437A"
\TELESCOPE                            = "Astrograph for the South Hemisphere II telescope"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "H-alpha"
\OBSERVATORY_SITE                     = "San Pedro de Atacama Celestial Explorations Observatory (SPACEOBS)"
\COLUMN_JD                            = "Julian Day"
\COMMENT                              = "H-alpha is centered on 0.656 micron. Uncertainties of individual points are ~6 mmag."
|               JD| RELATIVE_MAGNITUDE| MAGNITUDE_UNCERTAINTY|      RELATIVE_FLUX| FLUX_UNCERTAINTY|
|           double|             double|                double|             double|           double|
|             days|                mag|                   mag|                   |                 |
  2457424.81471                                                     0.988644147                      
  2457424.81864                                                     1.000092107                      
  2457424.82265                                                     0.988371013                      
  2457424.8266                                                    0.9802119662                      
  2457424.83054                                                     0.964006583                      
  2457424.83459                                                     0.981205558                      
  2457424.83852                                                     0.978047618                      
  2457424.84248                                                     0.982652582                      
  2457424.84652                                                     0.983105215                      
  2457424.85033                                                     0.977237220                      
  2457424.85416                                                     0.985371506                      
  2457424.85804                                                     0.989372876                      
  2457424.86206                                                     0.989372876                      
  2457424.86592                                                     1.006746202                      
  2457425.79111                                                     1.030006582                      
  2457425.79495                                                     1.027637632                      
  2457425.80261                                                     1.024518960                      
  2457425.80611                                                     1.018591388                      
  2457425.80999                                                     1.013631270                      
  2457425.81389                                                     0.996689768                      
  2457425.81773                                                     1.010927475                      
