\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000021_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:59:26 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454080.610210 14.12883 0.00787 
 2454080.612318 14.11661 0.00788 
 2454080.616835 14.12551 0.00804 
 2454080.621349 14.12385 0.00784 
 2454080.625864 14.11738 0.00797 
 2454080.630378 14.12041 0.00819 
 2454080.634893 14.11935 0.00758 
 2454080.639418 14.10822 0.00754 
 2454080.643933 14.10845 0.00789 
 2454080.648455 14.12582 0.00815 
 2454080.652970 14.11690 0.00785 
 2454080.657483 14.10897 0.00783 
 2454080.662000 14.11444 0.00767 
 2454080.666523 14.11767 0.00747 
 2454081.580718 14.12184 0.00800 
 2454081.585239 14.13102 0.00811 
 2454081.590603 14.12944 0.00831 
 2454081.595973 14.13434 0.00800 
 2454081.601342 14.10237 0.00812 
 2454081.606711 14.12062 0.00815 
 2454081.608820 14.12768 0.00808 
 2454081.613340 14.11543 0.00809 
 2454081.617854 14.12966 0.00776 
 2454081.622368 14.12701 0.00791 
 2454081.626882 14.11926 0.00796 
 2454081.631397 14.11161 0.00798 
 2454081.635918 14.12082 0.00776 
 2454081.640443 14.11671 0.00800 
 2454081.644959 14.10865 0.00795 
 2454081.649483 14.12134 0.00787 
 2454081.653999 14.12710 0.00793 
 2454081.658514 14.12318 0.00761 
 2454081.663037 14.13022 0.00794 
 2454082.580708 14.11594 0.00894 
 2454082.595951 14.11123 0.01179 
 2454082.601323 14.13091 0.00856 
 2454082.603432 14.13538 0.00853 
 2454082.607947 14.12663 0.00896 
 2454082.616975 14.13438 0.00963 
 2454082.630517 14.14254 0.01404 
 2454082.639545 14.11628 0.01040 
 2454082.644059 14.13046 0.00856 
 2454082.653086 14.12672 0.00858 
 2454082.657601 14.13968 0.00790 
 2454082.662115 14.12815 0.00863 
 2454083.580709 14.10620 0.00935 
 2454083.586072 14.10383 0.00858 
 2454083.591437 14.11695 0.00947 
 2454083.596800 14.11046 0.00874 
 2454083.602167 14.11396 0.00857 
 2454083.604270 14.11724 0.00833 
 2454083.613299 14.11036 0.00834 
 2454083.617814 14.11038 0.00879 
 2454083.626842 14.10393 0.00871 
 2454083.635870 14.11661 0.01235 
 2454083.640384 14.13175 0.00867 
 2454083.644898 14.11804 0.00825 
 2454083.649412 14.11144 0.00837 
 2454083.653926 14.12051 0.00898 
 2454093.581229 14.12702 0.00869 
 2454093.585959 14.10791 0.00874 
 2454093.590688 14.10637 0.00873 
 2454093.595418 14.09891 0.00850 
 2454093.600146 14.10074 0.00841 
 2454093.604873 14.11502 0.00846 
 2454093.609602 14.11949 0.00828 
 2454093.614332 14.11355 0.00843 
 2454093.619059 14.11286 0.00807 
 2454093.623785 14.11396 0.00863 
 2454093.628516 14.11122 0.00845 
 2454093.633243 14.12096 0.00837 
 2454107.587528 14.12587 0.00749 
 2454107.592258 14.10967 0.00746 
 2454108.588224 14.12316 0.00753 
 2454362.811812 14.11995 0.00836 
 2454362.822059 14.12010 0.00828 
 2454362.827601 14.12093 0.00817 
 2454362.833143 14.11805 0.00794 
 2454362.835339 14.11519 0.00811 
 2454362.840036 14.11240 0.00785 
 2454362.844725 14.12033 0.00796 
 2454362.849430 14.11089 0.00782 
 2454362.854127 14.10972 0.00801 
 2454362.858823 14.11907 0.00787 
 2454362.863510 14.12933 0.00777 
 2454362.868216 14.11444 0.00765 
 2454362.872913 14.10718 0.00750 
 2454362.877610 14.11909 0.00745 
 2454362.882298 14.12094 0.00734 
 2454362.887004 14.12613 0.00766 
 2454362.891700 14.12315 0.00748 
 2454362.896397 14.12260 0.00746 
 2454363.802049 14.13127 0.00791 
 2454363.806757 14.12541 0.00789 
 2454363.811465 14.12007 0.00784 
 2454363.817020 14.11685 0.00776 
 2454363.822575 14.13098 0.00752 
 2454363.828129 14.12116 0.00750 
 2454363.833682 14.12840 0.00738 
 2454363.835883 14.10092 0.00727 
 2454363.840589 14.12302 0.00746 
 2454363.845296 14.12011 0.00746 
 2454363.850002 14.12253 0.00773 
 2454363.854707 14.11544 0.00766 
 2454363.859413 14.11762 0.00756 
 2454363.864119 14.11862 0.00764 
 2454363.868825 14.11481 0.00729 
 2454363.873532 14.12634 0.00745 
 2454363.878238 14.13396 0.00698 
 2454363.882944 14.11191 0.00778 
 2454363.887652 14.12336 0.00706 
 2454363.892358 14.11478 0.00711 
 2454378.760995 14.13519 0.01037 
 2454378.765697 14.12043 0.01029 
 2454378.770400 14.13424 0.00480 
 2454378.775947 14.14400 0.02271 
 2454378.792593 14.15654 0.01930 
 2454378.804192 14.13901 0.01034 
 2454378.818299 14.12901 0.00815 
 2454378.823001 14.12911 0.01050 
 2454378.827703 14.11721 0.00707 
 2454379.801083 14.11843 0.00678 
 2454380.757100 14.07108 0.04437 
 2454380.761807 14.11301 0.01000 
 2454380.766514 14.11153 0.00991 
 2454380.772070 14.12233 0.00947 
 2454381.774033 14.12215 0.00845 
 2454381.779582 14.12822 0.00808 
 2454381.781780 14.12573 0.00809 
 2454381.786482 14.12369 0.00796 
 2454381.791186 14.12229 0.00794 
 2454381.795882 14.13488 0.00798 
 2454381.800593 14.11515 0.00793 
 2454381.805296 13.96796 0.00807 
 2454381.809999 14.12664 0.00764 
 2454381.814698 14.10806 0.00729 
 2454381.819406 14.10658 0.00743 
 2454381.824111 14.12420 0.00705 
