\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_008346_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 596      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:15 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454788.858931 12.04529 0.00239 
 2454788.863468 12.04932 0.00236 
 2454788.868010 12.04443 0.00229 
 2454788.872553 12.04436 0.00227 
 2454788.877099 12.04428 0.00226 
 2454788.881637 12.04220 0.00234 
 2454788.886181 12.04677 0.00236 
 2454788.890723 12.04323 0.00235 
 2454788.895264 12.04608 0.00234 
 2454788.899818 12.04540 0.00235 
 2454788.904360 12.04415 0.00235 
 2454788.908895 12.04367 0.00230 
 2454788.913430 12.04526 0.00230 
 2454789.754110 12.04570 0.00204 
 2454789.766079 12.04451 0.00214 
 2454789.778041 12.04650 0.00219 
 2454789.789988 12.04252 0.00218 
 2454789.801956 12.04386 0.00217 
 2454789.809373 12.05009 0.00223 
 2454789.831644 12.04136 0.00231 
 2454789.846950 12.04117 0.00227 
 2454789.854585 12.04698 0.00226 
 2454789.862234 12.04891 0.00237 
 2454789.869881 12.04584 0.00228 
 2454789.877527 12.03892 0.00230 
 2454789.882064 12.04147 0.00226 
 2454789.886602 12.04339 0.00225 
 2454789.891142 12.04293 0.00225 
 2454789.895680 12.05409 0.00229 
 2454789.900219 12.03776 0.00231 
 2454789.904765 12.04428 0.00230 
 2454789.911685 12.04962 0.00224 
 2454790.750743 12.04480 0.00207 
 2454790.762704 12.04310 0.00224 
 2454790.798579 12.03887 0.00226 
 2454790.835882 12.04538 0.00217 
 2454790.858813 12.04400 0.00230 
 2454790.866473 12.04766 0.00224 
 2454790.874105 12.04466 0.00222 
 2454790.878635 12.04423 0.00221 
